"build_time_min","deploy_time_min","commit_size_loc","num_bugs","test_coverage_pct","ticket_resolution_h","team","module","priority","deploy_status"
14.01,5.35,143,0,66.69,29.17,"Beta","api","critica","success"
35.79,19.79,144,2,54.81,6.18,"Beta","database","media","success"
19.29,14.48,168,0,59.34,19.48,"Alpha","api","baja","failed"
39.91,13.21,161,0,53.03,21.42,"Delta","core","media","failed"
42.41,5.19,154,0,50.89,149.31,"Delta","database","media","success"
3.48,2.19,157,0,62.63,15.38,"Gamma","auth","baja","success"
24.47,6.29,152,3,90.94,25.2,"Alpha","database","baja","success"
40.32,11.07,144,3,95.13,4.91,"Beta","auth","critica","success"
25.49,15.72,163,1,99.83,3.12,"Beta","core","media","success"
21.36,5.8,146,3,66.69,21.82,"Gamma","database","media","success"
43.12,6.68,157,1,81.22,113.72,"Gamma","core","baja","success"
21.22,18.98,148,2,42.15,26.95,"Alpha","core","media","success"
30.97,10.06,136,2,98.26,4.89,"Gamma","api","media","success"
26.41,19.47,156,0,52.45,21.84,"Gamma","database","media","failed"
5.98,17,160,1,97.51,78.89,"Beta","database","media","success"
40.64,19.6,151,2,81.46,71.4,"Beta","core","baja","success"
12.2,2.72,147,1,50.27,29.23,"Alpha","auth","baja","success"
3.33,6.62,139,1,48.79,15.68,"Gamma","database","media","failed"
15.76,18.92,145,0,86.61,17.89,"Delta","api","critica","success"
43.02,13.01,136,2,52.52,22.12,"Alpha","api","media","success"
40.19,19.6,134,2,69.51,20.98,"Gamma","auth","media","success"
31.64,19.45,166,1,96.26,92.7,"Beta","core","media","success"
29.36,14.75,151,2,40.81,23.43,"Alpha","core","baja","failed"
44.75,8.14,160,0,50.19,5.8,"Beta","database","alta","success"
30.02,13.44,132,2,40.65,16.54,"Gamma","ui","alta","success"
32.32,5.52,163,1,52.23,24.12,"Beta","auth","critica","success"
25.17,6.54,147,0,96.02,59.79,"Gamma","ui","media","success"
27.35,16.89,150,1,78.56,1.34,"Delta","auth","baja","success"
14.08,13.92,137,0,79.44,22.47,"Gamma","core","media","success"
7.9,15.61,158,0,89.78,61.23,"Alpha","ui","baja","success"
43.39,6.5,154,2,88.68,17.04,"Alpha","database","media","success"
40.75,13.01,157,2,64.34,60.49,"Gamma","auth","baja","success"
31.55,12.46,171,0,64.08,40.53,"Delta","core","baja","failed"
36.1,4.92,148,1,71.07,15.52,"Alpha","ui","media","success"
2.57,5.3,155,0,95.16,19.81,"Alpha","api","baja","success"
22.28,17.62,154,1,94.24,26.92,"Alpha","auth","baja","success"
34.49,15.8,150,2,57.27,16.97,"Delta","database","baja","success"
10.91,1,147,0,58.75,26.3,"Alpha","ui","media","success"
15.34,15.23,153,0,65.81,9.32,"Delta","core","media","success"
11.58,18.01,152,2,56.3,4,"Beta","auth","media","failed"
7.71,17.91,121,0,61.64,1.64,"Delta","auth","media","success"
19.53,2.83,156,1,77.98,20.37,"Alpha","core","baja","success"
19.5,19.54,155,1,96.73,5.5,"Gamma","ui","media","success"
17.54,18.25,142,2,95.03,54.51,"Beta","database","critica","success"
8.13,5.55,151,2,63.93,0.33,"Delta","auth","alta","failed"
7.54,17.83,149,1,51.7,94.11,"Beta","api","baja","success"
11.64,16.74,151,2,64.34,16.78,"Gamma","core","media","success"
21.77,9.07,135,1,94.13,79.5,"Alpha","core","baja","success"
13.07,2,172,2,80.86,14.93,"Beta","core","baja","failed"
38.82,17.39,135,1,65.13,24.76,"Delta","ui","critica","success"
3.49,6.81,153,1,50.51,2.71,"Gamma","core","media","success"
20.74,5.03,146,0,62.98,12.1,"Alpha","core","baja","success"
36.25,16.64,143,1,78.41,62.68,"Delta","api","media","success"
6.8,19.84,153,3,91.54,28.81,"Delta","ui","critica","success"
25.9,4.99,173,2,54.03,24.02,"Delta","api","media","success"
10.48,2.23,145,3,94.68,60.03,"Gamma","auth","alta","failed"
7.05,12.89,144,4,40.28,37.31,"Beta","core","baja","rolled_back"
34.27,17.2,147,0,50.36,27.95,"Gamma","core","baja","success"
40.43,4.09,153,2,64.61,21.87,"Beta","auth","baja","success"
17.79,10.36,173,1,53.07,6.39,"Delta","ui","alta","success"
30.43,7.43,157,2,76.31,41.9,"Beta","database","alta","success"
5.63,16.58,140,1,63.41,1.78,"Delta","core","baja","failed"
18.2,9.93,129,1,98.35,16.68,"Beta","core","alta","success"
13.44,5.02,162,1,49.76,29.96,"Gamma","database","media","success"
36.94,5.77,154,2,74.69,10.15,"Alpha","ui","critica","success"
21.01,16.55,158,1,48.45,5.71,"Delta","auth","baja","failed"
36.74,1,160,3,47.72,14.28,"Beta","database","baja","success"
36.84,8.42,157,1,82.55,18.95,"Beta","api","media","failed"
36.05,12.12,147,1,58.75,17,"Delta","api","baja","success"
20.63,10.81,146,1,76.23,76.21,"Alpha","core","media","success"
34.32,13.81,144,0,55.93,20.59,"Gamma","api","baja","success"
28.87,10.4,143,1,71.22,19.22,"Gamma","core","media","success"
32.39,11.31,130,1,65.22,2.04,"Alpha","database","media","success"
1.53,16.9,137,2,71.21,33.91,"Gamma","api","alta","success"
22.18,6.59,149,2,55.9,40.04,"Delta","auth","media","success"
11.08,1.2,171,2,94.15,62.07,"Alpha","core","media","success"
18.02,16.41,147,3,68.39,29.74,"Beta","auth","media","success"
28.16,15.68,141,0,71.34,9.24,"Alpha","database","baja","success"
16.8,17.26,159,0,51.89,44.26,"Beta","api","alta","rolled_back"
6.33,1.78,155,3,85.96,4.37,"Gamma","ui","media","success"
12.1,0.67,147,2,51.53,79.25,"Beta","core","baja","success"
30.56,12.04,143,1,73.75,56.57,"Delta","ui","baja","success"
19.67,17.46,152,1,44.78,81,"Delta","ui","media","success"
35.79,9.2,158,2,58.91,31.57,"Delta","database","media","success"
5.97,1.23,159,3,78.5,29.82,"Beta","auth","media","success"
20.42,8.5,149,0,78.44,36.31,"Gamma","auth","media","success"
44.35,7.62,145,2,84.5,23.45,"Delta","core","baja","success"
40.35,9.79,133,1,93.92,8.06,"Delta","database","baja","success"
40.06,3.11,145,2,89,106.56,"Delta","core","baja","success"
9.11,9.85,142,1,55.69,21.57,"Gamma","auth","baja","rolled_back"
7.19,5.65,154,0,46.44,49.66,"Gamma","auth","alta","success"
